date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
30-12-2024,Kerala,Thiruvananthapuram,2,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-12-2024,Kerala,Kannur,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-12-2024,Kerala,Thrissur,1,CO,77,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-12-2024,Kerala,Eloor,1,PM2.5,67,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-12-2024,Kerala,Thrissur,1,CO,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-12-2024,Kerala,Thiruvananthapuram,2,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-12-2024,Kerala,Kollam,1,PM10,93,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-12-2024,Kerala,Kannur,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2024,Kerala,Kollam,1,PM10,93,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2024,Kerala,Thiruvananthapuram,2,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2024,Kerala,Kannur,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-12-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-12-2024,Kerala,Thrissur,1,PM10,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-12-2024,Kerala,Thiruvananthapuram,2,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-12-2024,Kerala,Thiruvananthapuram,2,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-12-2024,Kerala,Kannur,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-12-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-12-2024,Kerala,Kollam,1,PM10,92,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-12-2024,Kerala,Kollam,1,PM10,94,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-12-2024,Kerala,Thiruvananthapuram,2,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-12-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-12-2024,Kerala,Kannur,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-12-2024,Kerala,Thiruvananthapuram,2,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-12-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-12-2024,Kerala,Kollam,1,PM10,89,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-12-2024,Kerala,Kannur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-12-2024,Kerala,Kannur,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-12-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-12-2024,Kerala,Thiruvananthapuram,2,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-12-2024,Kerala,Kollam,1,PM10,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-12-2024,Kerala,Kannur,1,CO,78,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-12-2024,Kerala,Thiruvananthapuram,2,PM10,67,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-12-2024,Kerala,Kollam,1,PM10,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-12-2024,Kerala,Kannur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-12-2024,Kerala,Thiruvananthapuram,2,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-12-2024,Kerala,Kollam,1,PM10,89,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-12-2024,Kerala,Thrissur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-12-2024,Kerala,Eloor,1,PM2.5,81,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-12-2024,Kerala,Kannur,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-12-2024,Kerala,Thiruvananthapuram,1,PM10,42,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-12-2024,Kerala,Eloor,1,PM2.5,84,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-12-2024,Kerala,Kollam,1,PM10,79,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-12-2024,Kerala,Thrissur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-12-2024,Kerala,Kollam,1,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-12-2024,Kerala,Thiruvananthapuram,2,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-12-2024,Kerala,Kannur,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-12-2024,Kerala,Kollam,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-12-2024,Kerala,Thiruvananthapuram,2,PM10,65,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-12-2024,Kerala,Kannur,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2024,Kerala,Kannur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2024,Kerala,Thiruvananthapuram,2,PM10,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2024,Kerala,Kollam,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-12-2024,Kerala,Thrissur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2024,Kerala,Thiruvananthapuram,2,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-12-2024,Kerala,Kannur,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-12-2024,Kerala,Kannur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-12-2024,Kerala,Thiruvananthapuram,2,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-12-2024,Kerala,Kollam,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-12-2024,Kerala,Kannur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-12-2024,Kerala,Thrissur,1,PM10,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-12-2024,Kerala,Thiruvananthapuram,2,PM10,39,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-12-2024,Kerala,Kollam,1,PM10,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-12-2024,Kerala,Thiruvananthapuram,2,PM10,38,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-12-2024,Kerala,Kannur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-12-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-12-2024,Kerala,Thrissur,1,PM10,49,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-12-2024,Kerala,Kollam,1,PM10,83,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-12-2024,Kerala,Eloor,1,PM2.5,66,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-12-2024,Kerala,Kannur,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-12-2024,Kerala,Thiruvananthapuram,2,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-12-2024,Kerala,Kannur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-12-2024,Kerala,Thiruvananthapuram,2,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-12-2024,Kerala,Thrissur,1,PM2.5,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-12-2024,Kerala,Eloor,1,PM2.5,75,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-12-2024,Kerala,Kannur,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-12-2024,Kerala,Thiruvananthapuram,2,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-12-2024,Kerala,Eloor,1,PM2.5,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-12-2024,Kerala,Kollam,1,PM10,82,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-12-2024,Kerala,Thrissur,1,PM2.5,72,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-12-2024,Kerala,Thiruvananthapuram,2,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-12-2024,Kerala,Thrissur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-12-2024,Kerala,Kannur,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-12-2024,Kerala,Kollam,1,PM10,84,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-12-2024,Kerala,Kannur,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-12-2024,Kerala,Thiruvananthapuram,2,PM10,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-12-2024,Kerala,Thrissur,1,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-12-2024,Kerala,Kollam,1,PM10,69,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-12-2024,Kerala,Kannur,1,PM10,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-12-2024,Kerala,Eloor,1,PM2.5,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-12-2024,Kerala,Thiruvananthapuram,2,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-12-2024,Kerala,Eloor,1,PM2.5,67,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-12-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-12-2024,Kerala,Kannur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-12-2024,Kerala,Thiruvananthapuram,2,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-12-2024,Kerala,Eloor,1,PM2.5,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-12-2024,Kerala,Kannur,1,PM10,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-12-2024,Kerala,Thiruvananthapuram,2,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
05-12-2024,Kerala,Thrissur,1,PM10,45,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-12-2024,Kerala,Kollam,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-12-2024,Kerala,Thiruvananthapuram,2,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-12-2024,Kerala,Eloor,1,PM2.5,78,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-12-2024,Kerala,Kannur,1,CO,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
04-12-2024,Kerala,Thrissur,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-12-2024,Kerala,Thiruvananthapuram,2,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-12-2024,Kerala,Kollam,1,PM10,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-12-2024,Kerala,Eloor,1,PM2.5,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
03-12-2024,Kerala,Thrissur,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-12-2024,Kerala,Thrissur,1,CO,70,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-12-2024,Kerala,Thiruvananthapuram,2,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-12-2024,Kerala,Kannur,1,CO,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
02-12-2024,Kerala,Eloor,1,PM2.5,66,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-12-2024,Kerala,Eloor,1,PM2.5,82,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-12-2024,Kerala,Thiruvananthapuram,2,PM10,67,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-12-2024,Kerala,Thrissur,1,PM2.5,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-12-2024,Kerala,Kollam,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
01-12-2024,Kerala,Kannur,1,CO,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Kerala,Kollam,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Kerala,Eloor,1,PM2.5,90,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Kerala,Thiruvananthapuram,2,PM10,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Kerala,Thrissur,1,PM2.5,55,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-11-2024,Kerala,Kannur,1,CO,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-11-2024,Kerala,Kollam,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-11-2024,Kerala,Eloor,1,PM2.5,82,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-11-2024,Kerala,Kannur,1,CO,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-11-2024,Kerala,Thiruvananthapuram,2,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-11-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-11-2024,Kerala,Thiruvananthapuram,2,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-11-2024,Kerala,Eloor,1,PM2.5,77,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-11-2024,Kerala,Kollam,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-11-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-11-2024,Kerala,Kannur,1,CO,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-11-2024,Kerala,Kollam,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-11-2024,Kerala,Eloor,1,PM2.5,75,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-11-2024,Kerala,Kannur,1,CO,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-11-2024,Kerala,Thrissur,1,PM2.5,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-11-2024,Kerala,Thiruvananthapuram,2,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-11-2024,Kerala,Eloor,1,PM2.5,82,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-11-2024,Kerala,Kollam,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-11-2024,Kerala,Thrissur,1,PM2.5,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-11-2024,Kerala,Kannur,1,PM10,37,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-11-2024,Kerala,Thiruvananthapuram,2,PM10,66,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-11-2024,Kerala,Kannur,1,PM2.5,31,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-11-2024,Kerala,Eloor,1,PM2.5,74,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-11-2024,Kerala,Thrissur,1,PM2.5,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
25-11-2024,Kerala,Thiruvananthapuram,2,PM10,72,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-11-2024,Kerala,Kannur,1,PM2.5,31,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-11-2024,Kerala,Eloor,1,PM2.5,78,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-11-2024,Kerala,Thiruvananthapuram,2,PM10,76,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-11-2024,Kerala,Kollam,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
24-11-2024,Kerala,Thrissur,1,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-11-2024,Kerala,Kannur,1,PM10,36,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-11-2024,Kerala,Kollam,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-11-2024,Kerala,Thiruvananthapuram,2,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
23-11-2024,Kerala,Eloor,1,PM2.5,80,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-11-2024,Kerala,Kannur,1,PM10,36,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-11-2024,Kerala,Eloor,1,PM2.5,79,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-11-2024,Kerala,Kollam,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-11-2024,Kerala,Thiruvananthapuram,2,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
22-11-2024,Kerala,Thrissur,1,PM10,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-11-2024,Kerala,Kollam,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-11-2024,Kerala,Thiruvananthapuram,2,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
21-11-2024,Kerala,Thrissur,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-11-2024,Kerala,Thiruvananthapuram,2,PM10,66,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
20-11-2024,Kerala,Thrissur,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-11-2024,Kerala,Thiruvananthapuram,2,PM10,69,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-11-2024,Kerala,Eloor,1,PM2.5,84,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-11-2024,Kerala,Thrissur,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
19-11-2024,Kerala,Kollam,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-11-2024,Kerala,Eloor,1,PM2.5,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-11-2024,Kerala,Thrissur,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
18-11-2024,Kerala,Thiruvananthapuram,2,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-11-2024,Kerala,Thrissur,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-11-2024,Kerala,Eloor,1,PM2.5,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-11-2024,Kerala,Thiruvananthapuram,2,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
17-11-2024,Kerala,Kollam,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-11-2024,Kerala,Thiruvananthapuram,2,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-11-2024,Kerala,Kollam,1,PM10,60,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-11-2024,Kerala,Thrissur,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
16-11-2024,Kerala,Eloor,1,PM2.5,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-11-2024,Kerala,Thrissur,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-11-2024,Kerala,Eloor,1,PM2.5,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-11-2024,Kerala,Kollam,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
15-11-2024,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-11-2024,Kerala,Eloor,1,PM2.5,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-11-2024,Kerala,Thiruvananthapuram,2,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
14-11-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-11-2024,Kerala,Eloor,1,PM2.5,79,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-11-2024,Kerala,Thrissur,1,PM2.5,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-11-2024,Kerala,Thiruvananthapuram,2,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-11-2024,Kerala,Kollam,1,PM10,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-11-2024,Kerala,Thiruvananthapuram,2,PM10,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-11-2024,Kerala,Kollam,1,PM2.5,155,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-11-2024,Kerala,Thrissur,1,PM2.5,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-11-2024,Kerala,Eloor,1,PM2.5,77,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-11-2024,Kerala,Kollam,1,PM2.5,83,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-11-2024,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-11-2024,Kerala,Eloor,1,PM2.5,65,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
11-11-2024,Kerala,Thrissur,1,PM10,42,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-11-2024,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-11-2024,Kerala,Thrissur,1,PM10,41,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-11-2024,Kerala,Eloor,1,PM2.5,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
10-11-2024,Kerala,Kollam,1,PM2.5,108,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-11-2024,Kerala,Eloor,1,PM2.5,77,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-11-2024,Kerala,Thrissur,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-11-2024,Kerala,Kollam,1,PM2.5,68,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
09-11-2024,Kerala,Thiruvananthapuram,2,"PM10,NO2",38,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-11-2024,Kerala,Thrissur,1,PM10,45,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-11-2024,Kerala,Kollam,1,PM2.5,93,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
08-11-2024,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-11-2024,Kerala,Thrissur,1,PM10,45,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
07-11-2024,Kerala,Thiruvananthapuram,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
06-11-2024,Kerala,Thrissur,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
